Priority,Name,Branches,Phone,City,Instagram,Notes
HIGH,Captain Barbershop,130+,0812-8077-7736,Jabodetabek/Bandung/Surabaya/Medan/Karawang,@captainbarbershopid,Chain terbesar
HIGH,Barberpedia,45+,+62-857-1814-1125,Jakarta/Tangerang/Karawaci,@barberpedia.official,
HIGH,Di Bawah Pohon,10+,0811-153-7327,BSD/Menteng/Tangsel/Jakpus,@dibawahpohon_,
HIGH,BarberKing Indonesia,21+,0821-7733-2015,JOGLOSEMAR,@barberking,
HIGH,Lanang Barbershop,100+,0831-3723-0858,Jabodetabek/Semarang,@lanangbarbershop01,
HIGH,Raja Cukur Barbershop,370+,081-2283-0798,Semarang (HQ),@rajacukur_pusat,WA admin
HIGH,Moxie Barbershop,17+,0812-9832-2009,Jawa/Lampung,@moxie_barbers,
HIGH,Serious Cut Barbershop,120+,+62-821-1111-8692,Pulau Jawa,@seriouscut_barbershop,WA kemitraan
HIGH,Deft Barber,60+,+62-857-7777-5749,Bogor/Jabodetabek/Sumsel,@deftbarber,
HIGH,Studio Potong,10+,0815-1996-7292,Jakarta/Tangerang/Karawang/Denpasar,@studiopotong,WA admin 1
HIGH,Studio Potong,10+,0821-1199-9639,Jakarta/Tangerang/Karawang/Denpasar,@studiopotong,WA admin 2
HIGH,Vegas Barbershop,10+,+62-857-3968-7214,Bali,@vegas_barbershop,
MEDIUM,Barberia,5+,+62-21-23580339,Jakarta,@barberia_id,
MEDIUM,Giovani Barbershop,,0811-6518-018,Medan,@giovani_barbershop,
MEDIUM,Barbertopia,,0812-1050-4068,Indonesia,,WA 1
MEDIUM,Barbertopia,,0818-981-700,Indonesia,,WA 2
MEDIUM,Paxi Barbershop,4,(021) 29528493,Jakarta,@paxi_barbershop,
MEDIUM,Tohang's Barber,9+,0812-8888-4782,Jakarta/Tangerang/Bogor,@tohangsbarber,WA kemitraan
MEDIUM,Barberbox,4,0812-9439-5909,Jakarta Selatan,@barberbox_senayan,
MEDIUM,Broadway Barbershop,3+,0812-3454-9090,Surabaya,@broadwaybarber.id,
MEDIUM,The Original Barbershop,4,0813-3669-9902,Surabaya,@theoriginalbarbers,Sutos
MEDIUM,Spartan Barbershop,3,082-111-880-882,Medan,@spartan_ringroad,
MEDIUM,NKRI Barbershop,5,0878-6788-8880,Bangil/Pandaan/Tanggulangin/Mojokerto/Surabaya,@nkri_barbershop,
LOW,Pax Wijaya,1,(021) 7207138,Jakarta Selatan,,Legendaris since 1965
LOW,Rogue & Beyond,1,+62-811-866-651,Jakarta Selatan,@rogueandbeyond,Kemang
LOW,ELDER Barberhouse,1,+62-812-3667-8589,Jakarta Selatan,@elderbarberhouse,Kemang
LOW,Good Willie Barber Shop,1,+62-21-22322938,Jakarta Timur,@goodwilliebarbershop,
LOW,Cukur Hade Barbershop,1,+62-822-1665-5665,Bandung,@cukurhade3.barbershop,
LOW,Dutchman Barbershop,1,0821-1000-9744,Surabaya,@dutchmanbarbershop,Rungkut
LOW,Sobat Barbershop,1,0859-1065-07808,Surabaya,,
